INDEX	ORIGINAL	TRANSLITERATED	PHONETIC	PARTOFSPEECH	STRONG	HTMLDEF
191	akouw	Akouo	ak-oo'-o	Verb	191	1. To be endowed with the faculty of hearing, not deaf.\2. To hear.\    A. To attend to, consider what is or has been said.\    B. To understand, perceive the sense of what is said.\3. To hear something.\    A. To perceive by the ear what is announced in one's presence.\    B. To get by hearing learn.\    C. A thing comes to one's ears, to find out, learn.\    D. To give ear to a teaching or a teacher.\    E. To comprehend, to understand.
192	akrasia	Akrasia	ak-ras-ee'-a	Noun Feminine	192	Want of self-control, incontinence, intemperance.
193	akrathV	Akrates	ak-rat'-ace	Adjective	193	Without self-control, intemperate.
194	akratoV	Akratos	ak'-rat-os	Adjective	194	Unmixed, pure.
195	akribeia	Akribeia	ak-ree'-bi-ah	Noun Feminine	195	Exactness, exactest care: in accordance with the strictness of the Mosaic law.
196	akribestatoV	Akribestatos	ak-ree-bes'-ta-tos	Adjective	196	1. Exact, careful.\2. Of the strictest sect: the most precise and rigorous in interpreting the Mosaic law, and in observing even the more minute precepts of the law and tradition.
197	akribesteron	Akribesteron	ak-ree-bes'-ter-on	Adjective	197	More exactly, more perfectly.
198	akribhV	Akriboo	ak-ree-bo'-o	Verb	198	1. To know accurately, to do exactly.\2. To investigate diligently.
199	akribwV	Akribos	ak-ree-boce'	Adverb	199	Exactly, accurately, diligently.
200	akriV	Akris	ak-rece'	Noun Feminine	200	A locust, particularly that species which especially infests oriental countries, stripping fields and trees. Numberless swarms of them almost every spring are carried by the wind from Arabia into Palestine, and having devastated that country, migrate to regions farther north, until they perish by falling into the sea. The Orientals accustomed to feed upon locusts, either raw or roasted and seasoned with salt (or prepared in other ways), and the Israelites also were permitted to eat them.
201	akroathrion	Akroaterion	ak-ro-at-ay'-ree-on	Noun Neuter	201	A place set aside for hearing and deciding cases.
202	akroathV	Akroates	ak-ro-at-ace'	Noun Masculine	202	A hearer.
203	akrobustia	Akrobustia	ak-rob-oos-tee'-ah	Noun Feminine	203	1. Having the foreskin, uncircumcised.\2. A Gentile.\3. A condition in which the corrupt desires rooted in the flesh were not yet extinct.
204	akrogwniaioV	Akrogoniaios	ak-rog-o-nee-ah'-yos	Adjective	204	Placed at an extreme corner, the corner foundation stone.
205	akroqinion	Akrothinion	ak-roth-in'-ee-on	Noun Neuter	205	1. Top of the heap, the first fruits.\    A. Best of the spoils or crops.\2. The Greeks customarily selected from the topmost part of the heaps and offered this to the gods.
206	akron	Akron	ak'-ron	Adjective	206	1. The farthest bounds, uttermost parts, end, highest, extreme.\    A. Of the earth.\    B. Of heaven.
207	AkulaV	Akulas	ak-oo'-las	Noun Masculine	207	Aquila = "an eagle".\A Jew of Pontus, a tent maker convert to Jesus, companion and ally of Paul in propagating Christianity.
208	akurow	Akuroo	ak-oo-ro'-o	Verb	208	To render void, deprive of force and authority.
209	akwlutwV	Akolutos	ak-o-loo'-toce	Adverb	209	Without hindrances, freely.
210	akwn	Akon	ak'-ohn	Adjective	210	Not of one's own will, unwillingly, against the will.
211	alabastron	Alabastron	al-ab'-as-tron	Noun Neuter	211	A box made of alabaster in which unguents are preserved.
212	alazoneia	Alazoneia	al-ad-zon-i'-a	Noun Feminine	212	1. Empty, braggart talk.\2. An insolent and empty assurance, which trusts in its own power and resources and shamefully despises and violates divine laws and human rights.\3. An impious and empty presumption which trusts in the stability of earthy things.
213	alazwn	Alazon	al-ad-zone'	Noun Masculine	213	An empty pretender, a boaster.
214	alalazw	Alalazo	al-al-ad'-zo	Verb	214	1. To repeat frequently the cry "alala" as soldiers used to do on entering into battle.\2. To utter a joyful sound.\3. To wail, lament.\4. To ring loudly, to clang.
215	alalhtoV	Alaletos	al-al'-ay-tos	Adjective	215	Not to be uttered, not expressed in words.
216	alaloV	Alalos	al'-al-os	Adjective	216	Speechless, dumb, wanting the faculty of speech.
217	alaV	Halas	hal'-as	Noun Neuter	217	1. Salt with which food is seasoned and sacrifices are sprinkled.\2. Those kinds of saline matter used to fertilise arable land.\3. Salt is a symbol of lasting concord, because it protects food from putrefaction and preserves it unchanged. Accordingly, in the solemn ratification of compacts, the orientals were, and are to this day, accustomed to partake of salt together.\4. Wisdom and grace exhibited in speech.
218	aleeuV	Aleipho	al-i'-fo	Verb	218	To anoint.
219	alektorofwnia	Alektorophonia	al-ek-tor-of-o-nee'-ah	Noun Feminine	219	1. The crowing of a cock or rooster, cock-crowing.\    A. Used of the third watch of the night.
220	alektwr	Alektor	al-ek'-tore	Noun Masculine	220	A cock, or male of any bird, a rooster.
221	AlexandreuV	Alexandreus	al-ex-and-reuce'	Noun Masculine	221	A native or resident of Alexandria in Egypt.
222	AlexandrinoV	Alexandrinos	al-ex-an-dree'-nos	Adjective	222	1. A native or resident of Alexandria in Egypt.\2. Of Alexandria or belonging to Alexandria.
223	AlexandroV	Alexandros	al-ex'-an-dros	Noun Masculine	223	Alexander = "man defender".\1. Son of Simon of Cyrene who carried Jesus's cross, Mk 15:21.\2. A certain man of the kindred of the high priest, Acts 4:6.\3. A certain Jew, Acts 19:33.\4. A certain coppersmith who opposed Paul, 1 Ti. 1:20.
224	aleuron	Aleuron	al'-yoo-ron	Noun Neuter	224	Wheat flour, meal.
225	alhqeia	Aletheia	al-ay'-thi-a	Noun Feminine	225	1. Objectively.\    A. What is true in any matter under consideration.\        1. Truly, in truth, according to truth.\        2. Of a truth, in reality, in fact, certainly.\    B. What is true in things appertaining to God and the duties of man, moral and religious truth.\        1. In the greatest latitude.\        2. The true notions of God which are open to human reason without his supernatural intervention.\    C. The truth as taught in the Christian religion, respecting God and the execution of his purposes through Jesus, and respecting the duties of man, opposing alike to the superstitions of the Gentiles and the inventions of the Jews, and the corrupt opinions and precepts of false teachers even among Christians.\2. Subjectively.\    A. Truth as a personal excellence.\        1. That candour of mind which is free from affection, pretence, simulation, falsehood, deceit.
226	alhqeuw	Aletheuo	al-ayth-yoo'-o	Verb	226	1. To speak or tell the truth.\    A. To teach the truth.\    B. To profess the truth.
227	alhqhV	Alethes	al-ay-thace'	Adjective	227	1. True.\2. Loving the truth, speaking the truth, truthful.
228	alhqinoV	Alethinos	al-ay-thee-nos'	Adjective	228	1. That which has not only the name and resemblance, but the real nature corresponding to the name, in every respect corresponding to the idea signified by the name, real, true genuine.\    A. Opposite to what is fictitious, counterfeit, imaginary, simulated or pretended.\    B. It contrasts realities with their semblances.\    C. Opposite to what is imperfect defective, frail, uncertain.\2. True, veracious, sincere.
229	alhqw	Aletho	al-ay'-tho	Verb	229	To grind.
230	alhqwV	Alethos	al-ay-thoce'	Adverb	230	Truly, of a truth, in reality, most certainly.
231	alieuV	Halieus	hal-ee-yoos'	Noun Masculine	231	A fisherman, fisher.
232	alieuw	Halieuo	hal-ee-yoo'-o	Verb	232	To fish.
233	alizw	Halizo	hal-id'-zo	Verb	233	To salt, season with salt, sprinkle with salt.
234	alisghma	Alisgema	al-is'-ghem-ah	Noun Neuter	234	Pollution, condemnation.
235	alla	Alla	al-lah'	Conjunction	235	1. But.\    A. Nevertheless, notwithstanding.\    B. An objection.\    C. An exception.\    D. A restriction.\    E. Nay, rather, yea, moreover.\    F. Forms a transition to the cardinal matter.
236	allassw	Allasso	al-las'-so	Verb	236	To change, to exchange one thing for another, to transform.
237	allacoqen	Allachothen	al-lakh-oth'-en	Adverb	237	From another place.
238	allhgorew	Allegoreo	al-lay-gor-eh'-o	Verb	238	To speak allegorically or in a figure.
239	allhlouia	Allelouia	al-lay-loo'-ee-ah		239	Praise ye the Lord, Hallelujah.
240	allhlwn	Allelon	al-lay'-lone		240	One another, reciprocally, mutually.
241	allogenhV	Allogenes	al-log-en-ace'	Adjective	241	Sprung from another tribe, a foreigner, alien.
242	allomai	Hallomai	hal'-lom-ahee	Verb	242	1. To leap.\2. To spring up, gush up: of water.
243	alloV	Allos	al'-los	Adjective	243	Another, other.
244	allotriepiskopoV	Allotriepiskopos	al-lot-ree-ep-is'-kop-os	Noun Masculine	244	One who takes the supervision of affairs pertaining to others and in no wise to himself, a meddler in other men's affairs.
245	allotrioV	Allotrios	al-lot'-ree-os	Adjective	245	1. Belonging to another.\2. Foreign, strange, not of one's own family, alien, an enemy.
246	allofuloV	Allophulos	al-lof'-oo-los	Adjective	246	Foreign.
247	allwV	Allos	al'-loce	Adverb	247	Otherwise.
248	aloaw	Aloao	al-o-ah'-o	Verb	248	To thresh.
249	alogoV	Alogos	al'-og-os	Adjective	249	1. Destitute of reason.\2. Contrary to reason, absurd.
250	aloh	Aloe	al-o-ay'	Noun Feminine	250	Aloe, aloes.
251	alukoV	Halukos	hal-oo-kos'	Adjective	252	Salt.
252	alupoteroV	Alupoteros	al-oo-pot'-er-os	Adjective	253	Free from pain or grief.
253	alusiV	Halusis	hal'-oo-sis	Noun Feminine	254	A chain, bond by which the body or any part of it (hands, feet) is bound.
254	alusitelhV	Alusiteles	al-oo-sit-el-ace'	Adjective	255	Unprofitable, hurtful, pernicious.
255	Alfa	Alphaios	al-fah'-yos	Noun Masculine	256	Alphaeus = "changing".\1. The father of Levi the publican (Mk 2:14).
256	alwn	Halon	hal'-ohn	Noun Feminine	257	A ground plot or threshing floor, i.e. a place in the field made hard after the harvest by a roller, where grain was threshed out.
257	alwphx	Alopex	al-o'-pakes	Noun Feminine	258	1. A fox.\2. Metaph. a sly man.
258	alwsiV	Halosis	hal'-o-sis	Noun Feminine	259	A catching, capture, to be taken.
259	ama	Hama	ham'-ah		260	1. At the same time, at once, togetherprep.\2. Together with.
260	amaqhV	Amathes	am-ath-ace'	Adjective	261	Unlearned, ignorant.
261	amarantinoV	Amarantinos	am-ar-an'-tee-nos	Adjective	262	1. Composed of amaranth.\    A. A flower so called because it never withers or fades, and when plucked off revives if moistened with water.\    B. A symbol of perpetuity and immortality.
262	amarantoV	Amarantos	am-ar'-an-tos	Adjective	263	Not fading away, unfading, perennial.
263	amartanw	Hamartano	ham-ar-tan'-o	Verb	264	1. To be without a share in.\2. To miss the mark.\3. To err, be mistaken.\4. To miss or wander from the path of uprightness and honour, to do or go wrong.\5. To wander from the law of God, violate God's law, sin.
264	amarthma	Hamartema	ham-ar'-tay-mah	Noun Neuter	265	Sin, evil deed.
265	amartia	Hamartia	ham-ar-tee'-ah	Noun Feminine	266	1. To be without a share in.\2. To miss the mark.\3. To err, be mistaken.\4. To miss or wander from the path of uprightness and honour, to do or go wrong.\5. To wander from the law of God, violate God's law, sin.
266	amarturoV	Amarturos	am-ar'-too-ros	Adjective	267	Without witness or testimony, unattested.
267	amartwloV	Hamartolos	ham-ar-to-los'	Adjective	268	1. Devoted to sin, a sinner.\    A. Not free from sin.\    B. Pre-eminently sinful, especially wicked.\        1. All wicked men.\        2. Specifically of men stained with certain definite vices or crimes 1b.
268	amacoV	Amachos	am'-akh-os	Adjective	269	1. Not to be withstood, invincible.\2. Not contentious.\3. Abstaining from fighting.
269	amaw	Amao	am-ah'-o	Verb	270	To reap, mow down.
270	apeleuqeroV	Apeleutheros	ap-el-yoo'-ther-os	Noun Masculine	558	A slave that has been released from servitude, a freeman.
271	ApellhV	Apelles	ap-el-lace'	Noun Masculine	559	Apelles = "called".\A certain Christian.
272	apelpizw	Apelpizo	ap-el-pid'-zo	Verb	560	1. Nothing despairing.\2. Despairing of no one.\3. Causing no one to despair.
273	apenanti	Apenanti	ap-en'-an-tee	Preposition	561	1. Over against, opposite.\2. In sight of, before.\3. In opposition to, against.
274	aperantoV	Aperantos	ap-er'-an-tos	Adjective	562	That can not be passed through, boundless, endless.
275	aperispastwV	Aperispastos	ap-er-is-pas-toce'	Adverb	563	Without distraction, without solicitude or anxiety or care.
276	aperitmhtoV	Aperitmetos	ap-er-eet'-may-tos	Adjective	564	1. Uncircumcised.\    A. Metaph. those whose heart and ears are covered, i.e. whose soul and senses are closed to divine admonition.
277	apercomai	Aperchomai	ap-erkh'-om-ahee	Verb	565	1. To go away, depart.\    A. To go away in order to follow any one, go after him, to follow his party, follow him as a leader.\2. To go away.\    A. Of departing evils and sufferings.\    B. Of good things taken away from one.\    C. Of an evanescent state of things.
278	apecei	Apechei	ap-ekh'-i	Verb	566	It is sufficient, it is enough.
279	apecomai	Apechomai	ap-ekh'-om-ahee	Verb	567	To hold one's self off, refrain, abstain.
280	apecw	Apecho	ap-ekh'-o	Verb	568	1. Have.\    A. To hold back, keep off, prevent.\    B. To have wholly or in full, to have received.\    C. It is enough, sufficient.\2. To be away, absent, distant.\3. To hold one's self off, abstain.
281	apistew	Apisteo	ap-is-teh'-o	Verb	569	1. To betray a trust, be unfaithful.\2. To have no belief, disbelieve.
282	apistia	Apistia	ap-is-tee'-ah	Noun Feminine	570	1. Unfaithfulness, faithless.\2. Want of faith, unbelief.\3. Weakness of faith.
283	apistoV	Apistos	ap'-is-tos	Adjective	571	1. Unfaithful, faithless, (not to be trusted, perfidious).\2. Incredible.\    A. Of things.\3. Unbelieving, incredulous.\    A. Without trust (in God).
284	gumnasia	Gumnasia	goom-nas-ee'-ah	Noun Feminine	1129	1. The exercise of the body in a palaestra or school of athletics.\2. Any exercise whatever.\    A. The exercise of conscientiousness relative to the body such as is characteristic of ascetics and consists in abstinence from matrimony and certain kinds of food.
285	gumniteuw	Gumneteuo	goom-nayt-yoo'-o	Verb	1130	1. To be lightly or poorly clad.\2. To be a light armed soldier.
286	gumnoV	Gumnos	goom-nos'	Adjective	1131	1. Properly.\    A. Unclad, without clothing, the naked body.\    B. Ill clad.\    C. Clad in undergarments only (the outer garments or cloak being laid aside).\    D. Of the soul, whose garment is the body, stripped of the body, without a body.\2. Metaph.\    A. Naked, i.e. open, lay bare.\    B. Only, mere, bare, i.e. mere grain not the plant itself.
287	gumnothV	Gumnotes	goom-not'-ace	Noun Feminine	1132	Nakedness of the body.
288	gunaikarion	Gunaikarion	goo-nahee-kar'-ee-on	Noun Neuter	1133	A little woman: used contemptuously.
289	gunaikeioV	Gunaikeios	goo-nahee-ki'-os	Adjective	1134	Of or belonging to a woman, feminine, female.
290	gunh	Gune	goo-nay'	Noun Feminine	1135	1. A woman of any age, whether a virgin, or married, or a widow.\2. A wife.\    A. Of a betrothed woman.
291	Gwg	Gog	gogue	Noun Location	1136	Gog = "mountain".\The king of the land of Magog who will come from the north and attack the land of Israel.
292	gwnia	Gonia	go-nee'-ah	Noun Feminine	1137	1. Corner.\    A. An external angle, a corner.\    B. Internal corner, i.e. a secret place.
293	Dabid	Dabid	dab-eed'	Noun Masculine	1138	David = "Beloved";\  Origin from Egyptian Thut (Thoth); Egyptian TWT is equivilant to Semitic DVD.\Second king of Israel, and ancestor of Jesus the Christ.
294	daimonizomai	Daimonizomai	dahee-mon-id'-zom-ahee	Verb	1139	To be under the power of a, god, a goddess, a spirit, or a deity.
295	daimonion	Daimonion	dahee-mon'-ee-on	Noun Neuter	1140	1. The divine power, deity, divinity.\2. A spirit, a being inferior to God but superior to men.
296	daimoniwdhV	Daimoniodes	dahee-mon-ee-o'-dace	Adjective	1141	Resembling or proceeding from an evil spirit, demon-like.
297	daimwn	Daimon	dah'-ee-mown	Noun	1142	1. A god, a goddess.\    A. An inferior deity, whether good or bad.
298	daknw	Dakno	dak'-no	Verb	1143	1. To bite with the teeth.\2. Metaph., to wound the soul, cut lacerate, rend with reproaches.
299	dakruon	Dakru	dak'-roo	Noun Neuter	1144	A tear.
300	diarrhssw	Diarrhesso	dee-ar-hrayce'-so	Verb	1284	1. To break asunder, burst through, rend asunder.\2. To rend, which was done by the Jews to their clothes in cases of extreme indignation or in deep grief.
301	diasafew	Diasapheo	dee-as-af-eh'-o	Verb	1285	1. To make clear, to make plain, to explain, unfold, declare.\2. Of things done, to declare i.e. to tell, announce, narrate.
302	diaseiw	Diaseio	dee-as-i'-o	Verb	1286	1. To shake thoroughly.\2. To make to tremble.\3. To terrify.\4. To agitate.\5. To extort from one by intimidation money or other property.
303	diaskorpizw	Diaskorpizo	dee-as-kor-pid'-zo	Verb	1287	1. To scatter abroad, disperse, to winnow.\    A. To throw the grain a considerable distance, or up into the air, that it may be separated from the chaff.\    B. To gather the wheat, freed from the chaff into the granary.\    C. To winnow grain.
