ID	word	Body
543	Consent	(A-1, Verb: exomologeo; Strong # 1843)\"to agree openly, to acknowledge outwardly, or fully" ({ex}, for {ek}, "out," intensive), is translated "consented" in the RV of Luke 22:6 (AV, "promised"). See CONFESS, THANK. \\(A-2, Verb: epineuo; Strong # 1962)\lit. "signifies to nod to" ({epi}, "upon or to," {neuo}, "to nod"); hence, "to nod assent, to express approval, consent," Acts 18:20.\\(A-3, Verb: proserchomai; Strong # 4334)\"to come to," signifies "to consent," implying a coming to agreement with, in 1 Tim. 6:3. See COME, No. 10.\\(A-4, Verb: sunkatatithemi; Strong # 4784)\lit., "to put or lay down together with" ({sun}, "with," {kata}, "down," {tithemi}, "to put"), was used of depositing one's vote in an urn; hence, "to vote for, agree with, consent to." It is said negatively of Joseph of Arimathaea, who had not "consented" to the counsel and deed of the Jews, Luke 23:51 (Middle Voice).\\(A-5, Verb: sumphemi; Strong # 4852)\lit., "to speak with" ({sun}, "with," {phemi}, "to speak"), hence, "to express agreement with," is used of "consenting" to the Law, agreeing that it is good, Rom. 7:16.\\(A-6, Verb: suneudokeo; Strong # 4909)\lit., "to think well with" ({sun}, "with," {eu}, "well," {dokeo}, "to think"), to take pleasure with others in anything, to approve of, to assent, is used in Luke 11:48, of "consenting" to the evil deeds of predecessors (AV, "allow"); in Rom. 1:32, of "consenting" in doing evil; in Acts 8:1; 22:20, of "consenting" to the death of another. All these are cases of "consenting" to evil things. In 1 Cor. 7:12,13, it is used of an unbelieving wife's "consent" to dwell with her converted husband, and of an unbelieving husband's "consent" to dwell with a believing wife (AV, "be pleased;" RV, "be content"). See ALLOW, CONTENT, PLEASE.\\(B-1, Phrase: apo miaV; Strong # 575 3391)\lit., "from one," is found in Luke 14:18, some word like "consent" being implied; e.g., "with one consent."\\(B-2, Phrase: ek sumphonou; Strong # 1537 4859)\lit., "from (or by) agreement" ({sun}, "with," {phone}, "a sound"), i.e., "by consent," is found in 1 Cor. 7:5. Cp. AGREE.
544	Consider, Ware	(1: eidon; Strong # 3708)\used as the aorist tense of {horao}, "to see," is translated "to consider" in Acts 15:6, of the gathering of the Apostles and elders regarding the question of circumcision in relation to the Gospel. \\(2: suneidon; Strong # 4894)\{sun}, with, and No. 1, used as the aorist tense of {sunorao}, to see with one view, to be aware, conscious, as the result of mental perception, is translated "considered" in Acts 12:12, of Peter's consideration of the circumstances of his deliverance from prison. See KNOW, PRIVY.\\(3: katamanthano; Strong # 2648)\lit., "to learn thoroughly" ({kata}, "down," intensive, {manthano}, "to learn"), hence, "to note accurately, consider well," is used in the Lord's exhortation to "consider" the lilies. Matt. 6:28.\\(4: noeo; Strong # 3539)\"to perceive with the mind" ({nouV}), "think about, ponder," is translated "consider," only in Paul's exhortation to Timothy in 2 Tim. 2:7. See PERCEIVE, THINK, UNDERSTAND.\\(5: katanoeo; Strong # 2657)\"to perceive clearly" ({kata}, intensive, and No. 4), "to understand fully, consider closely," is used of not "considering" thoroughly the beam in one's own eye, Matt. 7:3; Luke 6:41 (AV, "perceivest"); of carefully "considering" the ravens, Luke 12:24; the lilies, Luke 12:27; of Peter's full "consideration" of his vision, Acts 11:6; of Abraham's careful "consideration" of his own body, and Sarah's womb, as dead, and yet accepting by faith God's promise, Rom. 4:19 (RV); of "considering" fully the Apostle and High Priest of our confession, Heb. 3:1; of thoughtfully "considering" one another to provoke unto love and good works, Heb. 10:24. It is translated by the verbs "behold," Acts 7:31,32; Jas. 1:23,24; "perceive," Luke 20:23; discover," Acts 27:39. See BEHOLD, DISCOVER, PERCEIVE.\\(6: logizomai; Strong # 3049)\signifies "to take account of," 2 Cor. 10:7 (RV, "consider," AV, "think"), the only place where the RV translates it "consider." See ACCOUNT.\\(7: theoreo; Strong # 2334)\see BEHOLD, No. 6.\\(8: anatheoreo; Strong # 333)\"to consider carefully:" see BEHOLD, No. 7.\\(9: analogizomai; Strong # 357)\"to consider," occurs in Heb. 12:3.\\Notes: (1) {Skopeo}, "to look," is translated "looking to" in Gal. 6:1, RV (AV, "considering"). See HEED, LOOK, MARK. (2) {Suniemi}, "to understand," is translated "considered" in Mark 6:52 (AV), RV, "understood." (3) In John 11:50 (AV, {dialogiomai}) the best texts have No. 6.
545	Consist	(1: eimi; Strong # 1510)\"to be," is rendered "consist" (lit., "is") in Luke 12:15. \\(2: sunistemi; Strong # 4921)\{sun}, "with," {histemi}, "to stand," denotes, in its intransitive sense, "to stand with or fall together, to be constituted, to be compact;" it is said of the universe as upheld by the Lord, Col. 1:17, lit., "by Him all things stand together," i.e., "consist" (the Latin {consisto}, "to stand together," is the exact equivalent of {sunistemi}). See APPROVE, COMMEND, MAKE, STAND.
546	Consolation, Console	(A-1, Noun: paraklesiV; Strong # 3874)\is translated "consolation," in both AV and RV, in Luke 2:25; 6:24; Acts 15:31; in 1 Cor. 14:3, AV, "exhortation," RV, "comfort;" in the following the AV has "consolation," the RV, "comfort," Rom. 15:5; 2 Cor. 1:6,7; 7:7; Phil. 2:1; 2 Thess. 2:16; Philem. 1:7; in Acts 4:36, RV, "exhortation;" in Heb. 6:18, RV, "encouragement." See COMFORT. \\(A-2, Noun: paramuthia; Strong # 3889)\"a comfort, consolation;" See COMFORT, A, No. 2.\\(A-3, Noun: paramuthion; Strong # 3890)\"an encouragement, consolation," Phil. 2:1, RV, in the phrase "consolation of love." See COMFORT, A, No. 3.\\(B-1, Verb: paramutheomai; Strong # 3888)\"to speak soothingly to," is translated "console," John 11:19, RV; in John 11:31 "were comforting;" in 1 Thess. 2:11; 5:14, AV, "comforted" and "comfort," RV, "encouraged" and "encourage."
547	Consort	(1: proskleroo; Strong # 4345)\lit., "to assign by lot" ({proV}, "to," {kleroV}, "a lot"), "to allot," is found in Acts 17:4, "consorted with," imparting to the Passive Voice (the form of the verb there) a Middle Voice significance, i.e., "they joined themselves to," or "threw in their lot with." The Passive Voice significance can be retained by translating (in the stricter sense of the word), "they were allotted" (i.e., by God) to Paul and Silas, as followers or disciples.
548	Conspiracy	(1: sunomosia; Strong # 4945)\denotes, lit., "a swearing together" ({sun}, "with," {omnumi}, "to swear"), a "being leagued by oath, and so a conspiracy," Acts 23:13.
549	Constantly	* For CONSTANTLY see AFFIRM
550	Constrain, Constraint	(A-1, Verb: anakazo; Strong # 315)\see COMPEL, No. 1. \\(A-2, Verb: parabiazomai; Strong # 3849)\primarily denotes "to employ force contray to nature and right, to compel by using force" ({para}, "alongside," intensive, {biazo}, "to force"), and is used only of "constraining" by intreaty, as the two going to Emmaus did to Christ, Luke 24:29; as Lydia did to Paul and his companions, Acts 16:15.\\(A-3, Verb: sunecho; Strong # 4912)\"to hold together, confine, secure, to hold fast" ({echo}, "to have or hold"), "to constrain," is said \    (a) of the effect of the word of the Lord upon Paul, Acts 18:5 (AV, "was pressed in spirit," RV, "was constrained by the word"); of the effect of the love of Christ, 2 Cor. 5:14; \    (b) of being taken with a disease, Matt. 4:24; Luke 4:38; Acts 28:8; with fear, Luke 8:37; \    (c) of thronging or holding in a person, Luke 8:45; being straitened, Luke 12:50; being in a strait betwixt two, Phil. 1:23; keeping a city in on every side, Luke 19:43; keeping a tight hold on a person, as the men who seized the Lord Jesus did, after bringing Him into the High Priest's house, Luke 22:63; \    (d) of stopping the ears in refusal to listen, Acts 7:57. Luke uses the word nine times out of its twelve occurrences in the NT. See HOLD, KEEP, No. (1), PRESS, SICK (lie), STOP, STRAIT (be in a), TAKEN (be), THRONG.\\Note: The verb {echo}, "to have," with {ananke}, "a necessity," is translated "I was constrained," in Jude 1:3, RV (AV, "it was needful").\\(B-1, Adverb: anankastoV; Strong # 317)\akin to A, No. 1, "by force, unwillingly, by constraint," is used in 1 Pet. 5:2.
551	Consult, Consultation	(A-1, Verb: bouleuo; Strong # 1011)\used in the Middle Voice, means \    (a) "to consult," Luke 14:31; \    (b) "to resolve," John 12:10, AV, "consulted;" RV, "took counsel." See COUNSEL. \\(A-2, Verb: sumbouleuo; Strong # 4823)\"to take counsel together," is translated "consulted together," in Matt. 26:4, AV (RV, "took counsel.") See COUNSEL.\\(B-1, Noun: sumboulion; Strong # 4824)\a word of the Graeco-Roman period (akin to A, No. 2), "counsel, advice," is translated "consulation" in Mark 15:1 (with {poieo}, "to make"), "to hold a consultation;" elsewhere "counsel" in the RV, except in Acts 25:12, where, by metonymy, it means a "council." See COUNCIL.
552	Consume	(1: analisko; Strong # 355)\"to use up, spend up, especially in a bad sense, to destroy," is said of the destruction of persons, \    (a) literally, Luke 9:54 and the RV marg. of 2 Thess. 2:8 (text, "shall slay"); \    (b) metaphorically, Gal. 5:15 "(that) ye be not consumed (one of another)." \\(2: katanalisko; Strong # 2654)\"to consume utterly, wholly" ({kata}, intensive), is said, in Heb. 12:29, of God as "a consuming fire."\\(3: aphanizo; Strong # 853)\lit., "to cause to disappear, put out of sight," came to mean "to do away with" ({a}, negative, {phaino}, "to cause to appear"), said of the destructive work of moth and rust, Matt. 6:19,20 (RV, "consume," AV, "corrupt"). See CORRUPT, DISFIGURE, PERISH, VANISH.\\Note: {Dapanao}, "to expend, be at an expense," is translated "consume" in the AV of Jas. 4:3 (RV, "spend"). See SPEND.
553	Contain	(1: choreo; Strong # 5562)\signifies \    (a), lit., "to give space, make room" ({chora}, "a place"); hence, transitively, "to have space or room for a thing, to contain," said of the waterpots as "containing" a certain quantity, John 2:6; of a space large enough to hold a number of people, Mark 2:2; of the world as not possible of "containing" certain books, John 21:25; \    (b) "to go," Matt. 15:17; "to have place," John 8:37; "to come," 2 Pet. 3:9; \    (c) metaphorically, "of receiving with the mind," Matt. 19:11,12; or "into the heart," 2 Cor. 7:2. See COME (No. 24), GO, PLACE, RECEIVE, ROOM. \\(2: periecho; Strong # 4023)\lit., "to have round" ({peri}, "around," {echo}, "to have"), means "to encompass, enclose, contain," as a writing contains details, 1 Pet. 2:6. Some mss. have it in Acts 23:25, lit., "having this form" (the most authentic have {echo}, "to have"). For the secondary meaning, "amazed" (AV, "astonished"), Luke 5:9 (lit., "amazement encompassed," i.e., seized, him).\\Notes: (1) The verb {allegoreo} in Gal. 4:24, RV, is translated "contain an allegory" (AV, "are an allegory"), i.e., they apply the facts of the narrative to illustrate principles. (2) In Eph. 2:15 "the law of commandments contained in ordinances" is, lit., "the law of commandments in ordinances." (3) In Rom. 2:14, the RV, translating literally, has "the things of the Law;" the AV inserts the words "contained in." (4) In 1 Cor. 7:9, for the AV, "if they cannot contain," see CONTINENCY.
554	Contend, Contending	(1: athleo; Strong # 118)\"to engage in a contest" (cp. Eng., "athlete"), "to contend in public games," is used in 2 Tim. 2:5, RV, "contend in the games," for the AV, "strive for the masteries." See STRIVE. Note: In 1 Cor. 9:25, the verb {agonizomai}, "to strive," is used in the same connection, RV, "striveth in the games." Cp. No. 3.\\(2: diakrino; Strong # 1252)\lit., "to separate throughout or wholly" ({dia}, "asunder," {krino}, "to judge," from a root {kri}--, meaning "separation"), then, to distinguish, decide, signifies, in the Middle Voice, "to separate oneself from, or to contend with," as did the circumcisionists with Peter, Acts 11:2; as did Michael with Satan, Jude 1:9. See RV marg. of Jude 1:22, where the thought may be that of differing in opinion. See DIFFER, DISCERN, DOUBT, JUDGE, PARTIAL, STAGGER, WAVER.\\(3: epagonizomai; Strong # 1864)\signifies "to contend about a thing, as a combatant" ({epi}, "upon or about," intensive, {agon}, "a contest"), "to contend earnestly," Jude 1:3. The word "earnestly" is added to convey the intensive force of the preposition.
555	Content, Contentment	(A-1, Verb: arkeo; Strong # 174)\primarily signifies "to be sufficient, to be possessed of sufficient strength, to be strong, to be enough for a thing;" hence, "to defend, ward off;" in the Middle Voice, "to be satisfied, contented with," Luke 3:14, with wages; 1 Tim. 6:8, with food and raiment; Heb. 13:5, with "such things as ye have;" negatively of {DiotrepheV}, in 3 John 1:10, "not content therewith." See ENOUGH, SUFFICE, SUFFICIENT. \\(A-2, Verb: suneudokeo; Strong # 4909)\in 1 Cor. 7:12,13, RV, signifies "to be content:" see CONSENT, No. 6.\\(B-1, Adjective: autarkeV; Strong # 842)\as found in the papyri writings, means "sufficient in oneself" ({autoV}, "self," {arkeo}, "see" A), "self-sufficient, adequate, needing no assistance;" hence, "content," Phil. 4:11.\\(B-2, Adjective: hikanoV; Strong # 2425)\"sufficient," used with {poieo}, "to do," in Mark 15:15, is translated "to content (the multitude)," i.e., to do sufficient to satisfy them. See ABLE.\\(C-1, Noun: autarkeia; Strong # 841)\"contentment, satisfaction with what one has," is found in 1 Tim. 6:6. For its other meaning "sufficiency," in 2 Cor. 9:8, see SUFFICIENCY.
556	Contention, Contentious	(1: eriV; Strong # 2054)\"strife, quarrel," especially "rivalry, contention, wrangling," as in the church in Corinth, 1 Cor. 1:11, is translated "contentions" in Titus 3:9, AV. See DEBATE, STRIFE, VARIANCE. \\(2: paroxusmoV; Strong # 3948)\\(Eng., "paroxysm"), lit., "a sharpening," hence "a sharpening of the feeling, or action" ({para}, "beside," intensive, {oxuV}, "sharp"), denotes an incitement, a sharp contention, Acts 15:39, the effect of irritation; elsewhere in Heb. 10:24, "provoke," unto love. See PROVOKE.\\(3: philoneikia; Strong # 5379)\lit., "love of strife" ({phileo}, "to love," {neikoV}, "strife"), signifies "eagerness to contend;" hence, a "contention," said of the disciples, Luke 22:24. Cp. B, 2.\\(4, Adjective: amachoV; Strong # 269)\lit., "not fighting" ({a}, negative, {mache}, "a fight, combat, quarrel"), primarily signifying "invincible," came to mean "not contentious," 1 Tim. 3:3, RV; Titus 3:2 (AV, "not a brawler," "no brawlers").\\(5, Adjective: philoneikoV; Strong # 5380)\akin to A, No. 3, is used in 1 Cor. 11:16. In the Sept., Ezek. 3:7, "stubborn."\\Notes: (1) {Eritheia}, "contention," AV, in Phil. 1:17, is translated "faction," in the RV. The phrase {hoi ex eritheias}, Rom. 2:8, lit., "those of strife," is rendered "contentious," in the AV; RV, "factious." See FACTIOUS, STRIFE.\\(2) For {agon}, "a contest," "contention," 1 Thess. 2:2, AV; "conflict," RV, see CONFLICT.
557	Continency	(1: enkrateuomai; Strong # 1467)\{en}, "in," {kratoV}, "power, strength," lit., "to have power over oneself," is rendered "(if) they have (not) continency" (i.e., are lacking in self-control), in 1 Cor. 7:9, RV; AV, "can (not) contain;" in 1 Cor. 9:25, "is temperate." See TEMPERATE.
558	Continual, Continually	(A-1, Adverbial Phrase: eiV teloV; Strong # 1519 5056)\lit., "unto (the) end," signifies "continual," in Luke 18:5, of the importunate widow's applications to the unrighteous judge; see also Matt. 10:22; 24:13; Mark 13:13; John 13:1; 1 Thess. 2:16. Cp. {heoV telouV}, lit., "until the end," 1 Cor. 1:8; 2 Cor. 1:13; {mechri telouV}, ditto, Heb. 3:6,14; {achri telouV}, Heb. 6:11; Rev. 2:26. \\(A-2, Adverbial Phrase: dia pantoV; Strong # 1275)\is used of a "period throughout or during which anything is done;" it is said of the disciples' "continuance" in the Temple after the ascension of Christ, Luke 24:53; of the regular entrance of the priests into the first tabernacle, Heb. 9:6, RV (AV "always"); of the constant sacrifice of praise enjoined upon believers, Heb. 13:15. See also Matt. 18:10; Mark 5:5; Acts 10:2; 24:16; Rom. 11:10; 2 Thess. 3:16, "at all times." See ALWAYS, No. 3, and Note under No. 3 below).\\(A-3, Adverbial Phrase: eiV to dienekeV; Strong # 1519 1336)\lit., "unto the carried-through" ({dia}, "through," {enenka}, "to carry"), i.e., unto (the) unbroken "continuance," is used of the continuous Priesthood of Christ, Heb. 7:3, and of the "continual" offering of sacrifices under the Law, Heb. 10:1. It is translated "for ever," in Heb. 10:12, of the everlasting session of Christ at the right hand of God; and in Heb. 10:14, of the everlasting effects of His sacrifice upon "them that are sanctified." See EVER.\\Note: No. 2 indicates that a certain thing is done frequently throughout a period; No. 3 stresses the unbroken continuity of what is mentioned.\\(B-1, Adjective: adialeiptoV; Strong # 88)\"continual, unceasing:" see CEASE, B.
